timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89404893441,5,11,-4,2,-3,-3,1,3
89404902390,-2,-4,-1,6,7,5,-2,-1
89404902390,-11,2,4,-4,-1,-5,-4,-7
89404916013,9,-7,0,4,5,13,-2,-7
89404916013,0,-2,1,-11,-5,-3,1,17
89404924841,-11,-7,0,-8,-7,-6,0,8
89404924841,-21,-21,-4,-8,-1,-5,-6,-16
89404938349,5,16,2,1,-4,-9,-3,1
89404938349,3,13,6,-3,2,-3,-15,-11
89404954161,-8,-32,-12,-7,-5,-2,-1,-4
89404954161,1,1,-1,0,4,2,6,2
89404954832,6,13,7,3,-1,2,-1,7
89404954832,-4,12,-4,3,-2,0,10,-5
89404962390,-3,-1,-4,-1,-4,-7,-11,-5
89404962390,-4,3,2,3,4,3,4,5
89404975963,-6,-18,-1,-12,-11,-13,-24,-29
89404975963,16,-12,-9,0,1,1,18,8
